Year	Argentina	Bolivia	Brazil	Chile	Colombia	Costa Rica	Cuba	Dominican Republic	Ecuador	El Salvador	Guatemala	Haiti	Honduras	Mexico	Nicaragua	Panama	Paraguay	Peru	Uruguay	Venezuela
1800	COL	COL	COL	COL	COL															
1801	COL	COL	COL	COL	COL															
1802	COL	COL	COL	COL	COL															
1803	COL	COL	COL	COL	COL															
1804	COL	COL	COL	COL	COL															
1805	COL	COL	COL	COL	COL															
1806	COL	COL	COL	COL	COL															
1807	COL	COL	COL	COL	COL															
1808	COL	COL	COL	COL	COL															
1809	COL	O	COL	COL	COL															
1810	O	COL	COL	O	C															
1811	O	COL	COL	O	O															
1812	O	COL	COL	O	O															
1813	O	COL	COL	O	O															
1814	O	COL	COL	O	O															
1815	O	COL	COL	O	O															
1816	O	COL	COL	O	O															
1817	O	COL	COL	O	O															
1818	O	COL	COL	O	O															
1819	O	COL	COL	O	C															
1820	O	COL	COL	O	R															
1821	O	COL	COL	O	R															
1822	O	COL	O	O	R															
1823	O	COL	O	O	R															
1824	O	COL	O	O	R															
1825	O	C	O	O	R															
1826	C	C	O	O	R															
1827	C	C	O	C	C															
1828	O	O	O	C	C															
1829	O	M	O	O	C															
1830	O	M	O	R	C															
1831	O	M	O	R	R															
1832	O	M	O	DR	R															
1833	O	M	O	DR	R															
1834	O	M	O	DR	R															
1835	O	M	O	DR	R															
1836	O	M	O	DR	R															
1837	O	M	O	DR	C															
1838	O	M	O	DR	C															
1839	O	M	O	DR	C															
1840	O	M	O	DR	C															
1841	O	M	O	DR	O															
1842	O	M	O	DR	O															
1843	O	M	O	DR	C															
1844	O	M	O	DR	C															
1845	O	M	O	DR	DO															
1846	O	M	O	DR	DO															
1847	O	M	O	DR	DO															
1848	O	M	O	DR	DO															
1849	O	M	O	DR	DL															
1850	O	M	O	DR	DL															
1851	O	M	O	DR	DL															
1852	O	M	O	DR	DL															
1853	O	M	O	DR	DL															
1854	R	M	O	DR	DL															
1855	R	M	O	DR	DR															
1856	R	M	O	DR	DR															
1857	R	M	O	DR	DR															
1858	R	M	O	DR	DR															
1859	R	M	O	DR	DR															
1860	R	M	O	DR	DR															
1861	O	M	O	DR	O															
1862	C	M	O	DR	DO															
1863	C	M	O	DR	DO															
1864	C	M	O	DR	DO															
1865	C	M	O	DR	DO															
1866	C	M	O	DR	DO															
1867	C	M	O	DR	DO															
1868	DO	M	O	DR	DO															
1869	DO	M	O	DR	DO															
1870	DO	M	O	DR	DO															
1871	DO	M	O	DO	DO															
1872	DO	M	O	DO	DO															
1873	DO	M	O	DO	DO															
1874	DR	M	O	DO	DO															
1875	DR	M	O	DO	DO															
1876	DR	M	O	DO	DO															
1877	DR	M	O	DO	DO															
1878	DR	M	O	DO	DO															
1879	DR	M	O	DO	DO															
1880	DR	DR	O	DO	DO															
1881	DR	DR	O	DO	DO															
1882	DR	DR	O	DO	DO															
1883	DR	DR	O	DO	DO															
1884	DR	DR	O	DO	DR															
1885	DR	DR	O	DO	DR															
1886	DR	DR	O	DO	DR															
1887	DR	DR	O	DO	O															
1888	DR	DR	O	DO	DR															
1889	DR	DR	M	DO	DR															
1890	DR	DR	M	DO	DR															
1891	DR	DR	M	O	DR															
1892	DR	DR	M	DO	DR															
1893	DR	DR	M	DO	DR															
1894	DR	DR	DO	DO	DR															
1895	DR	DR	DO	DO	DR															
1896	DR	DR	DO	DO	DR															
1897	DR	DR	DO	DO	DR															
1898	DR	DR	DO	DO	DR															
1899	DR	DR	DO	DO	DR															
1900	DR	DR	DO	DO	DR															
1901	DR	DR	DO	O	DR															
1902	DR	DR	DO	DO	DR															
1903	DR	DR	DO	DO	DR															
1904	DR	DR	DO	DO	DR															
1905	DR	DR	DO	DO	DR															
1906	DR	DR	DR	DR	DR															
